Excerpt 1,Excerpt 2,Excerpt 3,Excerpt 4,Excerpt 5,Excerpt 6,Excerpt 7,Excerpt 8,Excerpt 9,Excerpt 10,Excerpt 11,Excerpt 12,Excerpt 13,Excerpt 14,Excerpt 15,Excerpt 16,Excerpt 16,Excerpt 17,Excerpt 18,Excerpt 19,Excerpt 20,Excerpt 21,Excerpt 22,Excerpt 23,Excerpt 24,Excerpt 25,Excerpt 26,Excerpt 27,Excerpt 28,Excerpt 29,Excerpt 30,Q9,Q11,Q15,Q13,Q13_11_TEXT,Q23,Q19,Q29,Q22,Q23,Q24,Q21,Q33,Q27,Q31,Q25,Q17,Q35
"Changeant,Puissant,Incisif,Surprenant,Fort,Rapide,Mysterieux,Inquietant","Changeant,Bavard,Surprenant,Mysterieux,Inquietant",,"Colore,Changeant,Exotique,Incisif,Agressif,Surprenant",,"Incisif,Agressif,Fort,Rapide,Inquietant",,,,"Triste,Doux,Melancolique,Mysterieux","Triste,Puissant,Doux,Melancolique,Epure,Mysterieux,Solennel",,"Changeant,Chaleureux,Dansant,Solennel",,,"Incisif,Monotone,Agressif,Surprenant,Rapide",,,,"Colore,Chaleureux,Dansant,Joyeux",,,"Triste,Surprenant,Dansant","Chaleureux,Rapide,Dansant,Joyeux","Triste,Melancolique,Mysterieux,Inquietant,Sombre,Lent",,"Colore,Bavard,Rapide,Dansant,Joyeux","Triste,Monotone,Melancolique,Agressif,Mysterieux,Inquietant,Lent",,"Rapide,Dansant,Solennel",,20,Femme,FR,Etudiant,,10,Instrumentale,piano,Non,,,Non,,Non,0,0,Non,
,,"Long,Melancolique,Solennel",,"Triste,Terne,Monotone,Melancolique,Sombre,Lent",,"Terne,Mysterieux,Inquietant,Sombre,Lent","Colore,Dansant,Clair,Joyeux","Complexe,Colore,Exotique,Surprenant,Mysterieux,Vaillant",,,"Complexe,Changeant,Surprenant",,"Changeant,Exotique,Dansant,Clair","Monotone,Clair,Brillant",,"Complexe,Changeant,Agressif,Surprenant,Rapide,Inquietant","Long,Monotone,Melancolique,Mysterieux,Inquietant,Sombre,Lent","Terne,Mysterieux,Inquietant",,,"Triste,Terne,Monotone,Doux",,,,"Complexe,Incisif,Dansant,Joyeux",,,"Colore,Long,Surprenant,Clair,Lent,Brillant",,"Puissant,Epure,Brillant,Vaillant",20,Homme,FR,Etudiant,,0,,,Non,,,Oui,2,Non,/,/,Non,
"Changeant,Puissant,Agressif,Rapide,Vaillant","Changeant,Surprenant,Mysterieux","Terne,Melancolique,Mysterieux,Sombre","Bavard,Surprenant,Rapide","Complexe,Terne","Changeant,Agressif,Rapide,Mysterieux,Inquietant",,,"Puissant,Joyeux,Solennel",,"Doux,Tendre,Clair,Joyeux","Colore,Changeant,Surprenant,Mysterieux,Solennel",,,"Melancolique,Fort,Tendre,Solennel,Vaillant","Complexe,Agressif,Rapide",,"Triste,Long,Inquietant",,,"Melancolique,Mysterieux,Solennel",,,,,"Agressif,Fort,Rapide",,,"Chaleureux,Joyeux,Solennel,Brillant",,,20 ans,Homme,FR,Etudiant,,7,Instrumentale,Guitare (acoustique et un peu electrique),Non,,,Non,,Non,/,/,Non,
,,,,,,"Triste,Clair,Inquietant,Solennel,Lent","Colore,Chaleureux,Clair,Joyeux",,"Long,Doux,Melancolique,Tendre,Clair,Lent",,,,"Changeant,Exotique",,,"Colore,Rapide,Clair",,"Doux,Tendre,Clair,Lent",,"Doux,Tendre,Dansant,Clair,Lent","Changeant,Monotone,Epure,Clair","Chaleureux,Dansant,Clair,Joyeux","Colore,Chaleureux,Surprenant,Rapide,Clair,Joyeux","Terne,Monotone,Epure,Mysterieux,Clair,Lent",,"Colore,Chaleureux,Bavard,Rapide,Dansant,Clair,Joyeux","Triste,Puissant,Fort,Clair,Inquietant,Solennel,Lent",,"Colore,Doux,Tendre,Clair,Joyeux","Terne,Monotone,Clair,Solennel,Lent",20,Homme,FR,Etudiant,,0,,,Non,,,Non,,Non,0,0,Non,
"Changeant,Puissant,Incisif,Agressif,Bavard,Surprenant,Fort,Vaillant",,"Complexe,Puissant,Melancolique,Fort,Solennel,Sombre",,"Complexe,Triste,Terne,Monotone,Melancolique,Surprenant,Inquietant,Sombre","Incisif,Agressif,Surprenant,Fort,Rapide",,"Colore,Court,Monotone,Melancolique,Chaleureux,Joyeux,Vaillant",,,,,"Colore,Rapide,Dansant,Clair,Joyeux,Brillant,Vaillant",,,"Colore,Agressif,Bavard,Surprenant","Colore,Bavard,Rapide,Dansant,Joyeux,Brillant","Complexe,Melancolique,Mysterieux,Inquietant,Solennel,Sombre",,"Changeant,Fort,Joyeux,Vaillant",,,"Changeant,Epure,Dansant",,"Complexe,Exotique,Melancolique,Mysterieux,Inquietant,Solennel,Sombre,Lent",,,"Puissant,Mysterieux,Inquietant,Solennel,Sombre","Colore,Doux,Melancolique,Epure,Chaleureux,Clair","Colore,Doux,Chaleureux,Dansant,Joyeux,Brillant,Vaillant",,20,Homme,FR,Etudiant,,3,Instrumentale,piano,Non,,,Non,,Non,non,0,Non,
,"Complexe,Mysterieux",,"Puissant,Surprenant,Joyeux",,,"Triste,Fort,Mysterieux,Inquietant",,Surprenant,,"Terne,Monotone,Solennel","Joyeux,Vaillant","Dansant,Joyeux,Vaillant","Puissant,Inquietant","Melancolique,Tendre,Lent",,,,,,"Solennel,Lent,Vaillant","Melancolique,Lent",,"Puissant,Chaleureux,Dansant,Joyeux,Brillant",,"Mysterieux,Inquietant","Complexe,Dansant,Joyeux",,,,"Triste,Long,Melancolique",19,Femme,FR,Etudiant,,0,,,Non,,,Non,,Oui,,,Non,
,,"Solennel,Sombre,Lent","Colore,Surprenant,Rapide",,,"Monotone,Inquietant,Sombre,Lent",,,"Triste,Melancolique,Lent",,"Complexe,Incisif,Solennel","Colore,Dansant,Brillant","Surprenant,Dansant,Mysterieux,Lent","Triste,Puissant,Solennel","Incisif,Agressif,Rapide",,,"Changeant,Surprenant,Mysterieux","Complexe,Rapide,Clair","Incisif,Melancolique,Surprenant,Joyeux",,,,,"Incisif,Agressif,Rapide","Colore,Rapide,Dansant,Joyeux",,,"Colore,Dansant,Brillant",,20,Femme,FR,Etudiant,,0,,,Non,,,Oui,3 ans,Oui,J'apprends parfois des morceaux à jouer sur mon piano,4 ans,Non,
,"Complexe,Agressif,Surprenant,Mysterieux,Inquietant",,"Changeant,Rapide,Mysterieux,Joyeux","Complexe,Agressif,Surprenant,Mysterieux",,,,"Colore,Puissant,Joyeux,Solennel,Vaillant",,"Melancolique,Chaleureux,Tendre,Clair,Lent","Changeant,Puissant,Melancolique,Surprenant,Fort","Colore,Chaleureux,Rapide,Dansant,Joyeux",,,,,"Melancolique,Inquietant,Sombre","Triste,Melancolique,Mysterieux,Inquietant","Puissant,Chaleureux,Rapide,Joyeux,Vaillant","Colore,Chaleureux,Joyeux",,"Complexe,Triste,Puissant,Incisif,Agressif,Surprenant",,,,"Exotique,Rapide,Tendre,Dansant,Joyeux,Vaillant",,"Colore,Melancolique,Tendre,Joyeux,Lent",,"Triste,Puissant,Doux,Melancolique,Joyeux",19,Femme,FR,Etudiant,,0,,,Non,,,Non,,Non,,,,
"Incisif,Agressif,Fort,Rapide,Clair,Vaillant",,"Triste,Court,Terne,Solennel,Sombre,Lent","Colore,Changeant,Doux,Bavard,Surprenant,Rapide,Dansant,Clair,Joyeux",,"Incisif,Monotone,Agressif,Rapide,Vaillant",,,"Complexe,Colore,Chaleureux,Fort,Rapide,Clair,Solennel","Complexe,Doux,Melancolique,Chaleureux,Tendre,Lent",,"Changeant,Puissant,Surprenant,Fort,Mysterieux,Sombre,Lent,Vaillant","Colore,Incisif,Chaleureux,Rapide,Dansant,Clair,Joyeux,Vaillant","Complexe,Colore,Changeant,Exotique,Bavard,Surprenant,Fort,Joyeux,Vaillant",,"Court,Monotone,Epure,Transparent,Rapide,Clair,Solennel,Vaillant",,,,,,,,,"Changeant,Surprenant,Inquietant","Colore,Puissant,Agressif,Bavard,Rapide,Joyeux,Vaillant",,"Triste,Melancolique,Mysterieux,Sombre,Lent","Colore,Court,Doux,Chaleureux,Tendre,Dansant,Clair,Solennel,Lent",,"Colore,Doux,Melancolique,Tendre,Clair,Lent",23 ans,Femme,FR,Cadres et profession intellectuelle superieure,,0,,,Oui,Piano,1,Non,,Oui,Covers de chansons en autodidacte,4,Non,
,,"Triste,Monotone,Melancolique,Inquietant,Sombre,Lent",,"Incisif,Sombre",,"Complexe,Triste,Mysterieux,Inquietant,Sombre","Doux,Tendre,Dansant,Vaillant","Puissant,Fort,Rapide,Joyeux",,,,"Colore,Dansant,Joyeux","Monotone,Epure",,,,,"Complexe,Mysterieux,Inquietant,Solennel",,,"Monotone,Agressif,Solennel",,"Bavard,Fort,Rapide,Dansant,Joyeux",,"Agressif,Fort","Complexe,Fort,Rapide,Dansant","Complexe,Triste,Terne,Melancolique,Mysterieux,Inquietant,Sombre",,,"Complexe,Puissant,Terne,Agressif,Joyeux,Vaillant",20 ans ,Femme,FR,Etudiant,,2,Instrumentale,"Guitare, flute traversiere ",Oui,Piano,2,Non,,Non,,,,
