"","Dim.  1","Dim.  2","Dim.  3","Dim.  4","Dim.  5","Dim.  6","Dim.  7","Dim.  8","Dim.  9","Dim.  10","Dim.  11","Dim.  12","Dim.  13","Dim.  14","Dim.  15","Dim.  16","Dim.  17","Dim.  18","Dim.  19","Dim.  20","Dim.  21","Dim.  22","Dim.  23","Dim.  24","Dim.  25","Dim.  26","Dim.  27","Dim.  28"
"Excerpt.1",0.0108341593900721,0.0777719548606778,0.132923061930233,0.00938704188474468,0.00826505382554121,0.00383153773939839,0.000670795538606416,0.0288688270692953,0.0384784300026029,0.0176113000019612,0.0969707784919472,0.00139475650934074,0.0806610709903599,0.0180036367853383,3.82657449529741e-05,0.0684637538259654,0.0547293327405993,0.0125386087221186,0.0819146774429941,0.00666570577533096,2.66371751430303e-05,0.000860106381340975,0.00595589244906147,0.0360812306437906,0.0576112869319876,0.017522289239911,0.00547447533765311,0.0854595862107587
"Excerpt.2",0.00134887692527439,0.0323133284490414,0.000237283026377613,0.145650207150962,0.0309982340807419,0.162967911863279,0.0257713812232579,0.0374540658017132,0.0311967073849859,0.0217568684407675,0.0412943162293024,0.0583366184499186,0.020333050162093,0.00225422957556708,0.00389894940459915,0.000174766141740383,0.0652496649738818,0.00173572029360833,0.00815504151510553,0.0115800638437625,0.00170555980413656,0.0136432112563657,0.0960958654676639,0.00987944717957707,0.0078698881696499,0.024506910985807,0.0255654118334644,0.0847157118621605
"Excerpt.3",0.084577147581943,0.0058256243329031,0.014442835532553,4.52535748516575e-05,0.0295314539139889,0.10390275653077,0.150956984300807,0.0193400506437125,0.0241243360457412,0.00233335312065246,0.0519961131449446,0.00418097912638092,0.0131153037613024,0.107346986684164,0.109756149390216,0.000675426502026339,0.00920476400960245,0.115996686639405,0.00119587775065274,0.00148643058926884,0.0468967814950199,0.00597019982784158,0.000690191021876618,0.0468570462358271,0.00198166080878994,0.00718963569426399,0.00393038336857092,0.00350435785973243
"Excerpt.4",0.0567705879717632,0.000259399174807868,0.016402478480785,0.00674034028738059,0.00627157667591944,0.0670175526808137,0.0985391944411189,0.0361371661101092,0.0342099968245793,0.0293638610180705,0.00109684100931487,0.00629764414897632,0.0469647385768612,0.096363614777432,0.00664815625688413,0.00030642686079888,0.0278240115109561,0.0173202368430137,0.0720247569734439,0.00820220062037273,0.0234223258687722,0.0592344766644012,0.076514529257284,0.00107830664298907,0.0629740115229244,0.00449389118107879,0.000705836466938636,0.094838083098641
"Excerpt.5",0.0332723942303846,0.0231565238131516,0.0458155129326403,0.0354630869884498,0.0227489088814656,0.000297401789567395,0.0771293926000199,0.00145080860643244,0.10757781930803,0.0561318195998179,0.00633068744269467,0.0257243854420803,0.0259316668597641,0.022559890489754,0.111491373381803,0.0117271338671334,0.0129556978658992,0.0126359344835477,0.00165933453790866,0.175940815662027,0.0516118197779394,0.000790231299610799,0.00126085075483061,0.00985299884481852,0.0390541897514057,0.00278563092470844,0.0321258113877672,0.0210867710780298
"Excerpt.6",2.74807215308341e-05,0.146461785782356,0.00842564899347103,0.336740764509614,0.107285793681813,0.00801537883691179,0.00154111878228616,0.00270181454628778,0.00613027674343365,0.115727564425556,0.00026985536182212,0.00142225144187683,0.00436864629374241,0.00340707092654944,0.00401752124273914,6.24935650262003e-08,0.0113331103595182,0.0118496056602182,0.0390011747876569,0.0211621016523404,0.00193119587690686,0.0153440010980064,0.0189633668774237,0.0634558163451621,8.50542307715825e-05,0.0208356219628855,0.0143392452377332,0.000697317501759328
"Excerpt.7",0.0710617203284725,0.0692481918436419,0.130570733979405,0.00237899695157045,0.00121690137376705,0.149260365915122,0.144782079477296,7.08527673149448e-05,9.17641916138019e-06,0.0312762869330811,0.00436677802120665,0.0161028261725703,0.0095534585054922,0.000982396561127385,0.069008388869638,0.000560578321560755,0.00034024005646147,0.00692572379094062,0.0241401665445858,0.00951298704150324,0.0576164515173576,0.0128299421245045,0.000615473019261548,0.0315289607200502,0.049478382513817,0.04070723285786,0.0173126141207385,0.0130385167892748
"Excerpt.8",0.0148573744717769,0.0204556187042044,0.000267852905240443,0.0206950250206531,0.00029456524874359,0.069983356839919,0.00110511609453472,0.00130110997090223,4.8079146104864e-08,0.0069376703186,0.0053443445815876,0.0428838571563661,2.29066788234844e-05,0.0202175392864733,0.147706261830116,0.00297399000251351,0.168151031636686,0.00325543027420446,0.00482018094233233,0.00643147491252491,0.145313417848878,0.0498679692139525,0.0374965307112994,2.90273710438183e-06,0.168755382484581,0.00639803611578739,0.0213322386986908,0.000966703850032738
"Excerpt.9",0.018111488047056,0.00697203235548352,0.0321481017869506,0.0396948960941957,0.000260826965167423,0.00481734952733842,0.00561859527075556,0.0894448587263012,0.0123580437392186,0.0350087322402446,0.000188355221528427,0.00384764315445428,0.132342300148674,0.159168974210982,0.0190925618635756,0.0673505982509378,0.00932331282808099,0.006759547911046,0.00976002104511203,0.115044363174675,0.0885451997529731,0.00905459673852035,0.0264104271775109,0.0292614163295775,0.00236219946499851,0.0371540788910526,0.00395241747977094,0.00263635309862286
"Excerpt.10",0.0402691180615123,0.0456626246310768,0.0265901955372636,0.00419874039572091,0.0300039326490259,0.0219902231222032,0.0339947478416385,0.0165858763442243,0.253521659294705,0.00207655950410234,0.00902317172280264,1.48702327478213e-05,0.0190232694929354,0.000102652128669963,0.00395909405070217,0.0857000468256878,0.00805935789932878,0.00294770154957972,0.0045046952771095,0.00701981633799736,0.00897537605216826,0.0270676736249684,0.000319260522922197,0.0509240441227738,0.0384055864144956,0.0625084014637445,0.161337933626773,2.3061661048598e-05
"Excerpt.11",0.00242991689713007,0.106517623451503,0.00102236984755933,0.00748111337960778,0.169769213958198,0.000568113722212993,0.00655705951991206,0.00925061368846223,0.0531642524572239,0.0472957335719693,0.00335646628671094,0.00355248956546515,0.00037631302800148,0.0305550662349586,0.00837170441351612,0.0339105397739147,0.0304221990362095,0.0676761405656532,0.00615287295204579,0.194917280008321,0.00346633431230388,0.0611461634391717,0.0159284426206643,7.78067605444528e-05,0.0082892673956547,0.0743160756634058,0.0200530669983436,1.28408042835058e-05
"Excerpt.12",0.00667894696104386,0.0175278978067985,0.121938778288469,0.0396782181710446,0.000557322566038873,0.0344034830567468,0.0384804950530326,0.00349535702066407,0.00961287218005845,0.00119763738076863,0.0998378706759526,8.28051961781844e-05,3.70081522084062e-05,8.05393997232025e-05,0.121944410032267,0.00627042324637318,0.0421922419418714,0.0893261789497076,0.00368658534359105,0.0266040689384053,0.00860043199390882,0.0843725507572612,0.00593558972990285,0.103870250793103,0.0139157917063696,0.0232343197384973,0.0575203543921777,0.00179544866703093
"Excerpt.13",0.0708260456472896,0.00135339258070994,0.0269447161975997,0.0139352684149404,0.0398445126538717,0.000408524437363659,0.0228018895289104,0.000322782914805934,0.00402685239828636,0.0137763653141633,0.00384050839856189,0.000434019227568666,0.0355444207440393,0.00939393344226163,0.000126532367263629,0.00503862185548349,0.163033017001823,0.00253183252045797,0.319510329882973,0.049633899354504,0.0328374459637761,0.0215103350313824,0.0465901708981997,0.0041980530931965,0.0712874259828063,0.000898986688862041,7.87595738302426e-07,0.000243184611765177
