"","Dim.  1","Dim.  2","Dim.  3","Dim.  4","Dim.  5","Dim.  6","Dim.  7","Dim.  8","Dim.  9","Dim.  10","Dim.  11","Dim.  12","Dim.  13","Dim.  14","Dim.  15","Dim.  16","Dim.  17","Dim.  18","Dim.  19","Dim.  20","Dim.  21","Dim.  22","Dim.  23","Dim.  24","Dim.  25","Dim.  26","Dim.  27","Dim.  28"
"Aggressive",0.00257621057830042,0.119907433622572,0.0659276860522195,0.115300355013037,0.016716864023569,3.67758911532021e-05,0.00106191340357526,0.0299494551545085,0.0320680660004729,0.00813709567594629,0.000311044701384383,0.0253559353172074,0.000221500225078431,0.0519762474647711,0.0527247254227052,0.0216759115196502,0.0372527303136992,0.0105699651693725,0.081194189596996,0.00171315967141649,0.00607479099227471,0.0254394539547391,0.0500995071599393,0.0830169310868454,0.000249510897417358,0.0116455619405583,0.00734111078086479,0.093510221450341
"Bright",0.047883650501908,0.0113270805328713,0.00372545368535274,0.000185820360207549,0.0301089893621108,0.0108040341638673,0.0116234655406365,0.0377359949198833,0.000631811173818601,0.00567515019616131,0.000126366715984782,0.0217616203315346,0.0170497551514625,0.0394986136967758,0.0546833207866918,0.00139775229381474,0.0963904553936579,0.00972668238732343,0.0717489106416193,1.51220203928568e-05,0.00712723702167582,0.0220939135419026,0.160148698349999,0.00150603072764279,0.0361257740367851,0.0486308708323879,0.0521211205897593,0.00244413021871384
"Colorful",0.057684970993463,0.00866743245233681,0.0186654651959105,0.0174228586290189,0.0153143831096889,0.00059593508085454,0.00753622859589609,7.71071573278256e-05,0.0109272463127157,0.0410214094233786,0.000120097664766948,0.00168589182117334,0.000163062843847347,0.0526434340785851,0.0533201031778896,0.00229977075906694,0.000171976636189184,0.00128117552474588,0.000774363035401007,0.0101751286305142,0.00042526645596336,0.295677800188489,0.00137686962741994,0.00251661761931845,0.00490216238900062,0.0507235542708671,0.0216459359070739,0.00428477320818545
"Complex",0.000500139356546485,0.040808812477747,0.0127457677187186,0.0571658084008334,0.00287528626366152,0.00844248576543685,0.0379483401014796,0.00743181728551735,0.000382266870139622,0.0805986329470809,0.0266354876162425,0.00436527740973658,0.163324696728393,0.13876114472303,0.0659484708150894,0.00437447246026009,7.91604954890883e-05,0.0418980993446563,0.0298862237439426,0.0130161385671898,4.31945161365187e-05,0.0206481269251268,0.0549792766014731,0.00530826458519142,0.00828037920036765,0.0415229814291445,0.00462618243925505,0.00511557426308605
"Dancing",0.0717186724228185,0.0129212948175413,0.0997108206414032,2.94834001323679e-06,0.0120250609257687,0.00030184385602278,0.0237195445339037,0.124350655643983,0.000563897672764394,0.0162729857691833,0.133364180753888,0.0110531357754662,0.010291067862043,0.0463573867031514,0.191372058461913,3.31958683904419e-05,0.00106934388011708,0.0084641956661893,0.00193422498762307,0.000516164533181461,0.0285206865667708,0.00828776540581885,0.0185855149129454,0.0070902460079141,0.0404176325018156,0.0161540910062255,0.00902908280038892,0.0185762411214155
"Dark",0.0929129113165748,0.0222732787455441,0.133229854914496,3.12613022875156e-05,0.0135429816186465,0.0118781411155606,0.0181771535798491,0.000471552897797243,0.12460004751032,0.00808440213473816,0.0465835097543178,0.0112148846938191,0.0646283825050713,0.0340826418517981,0.0190704477889695,0.0185293880209627,0.000267338497482665,0.0316249067004583,0.00271358444564448,0.00591875756060041,0.00883726695099379,0.0556773172967008,0.00174014235431153,0.0776168621921646,0.000922456329050116,0.00402045818803604,0.0560592300846759,0.0209288989987476
"Dense",4.52641278771485e-05,0.00731452208659402,0.00038274676379648,0.00124992568155081,0.00119557173432267,0.00701599411114879,0.00229285611168416,0.00242908586762997,0.00493525491029016,0.109193552575857,0.0403958497318985,0.0256568340852657,0.105789724603806,0.0427352783109941,0.00793228255872476,0.114753188531895,0.0740455957185356,0.00317139369272874,0.00464251788822163,0.124954066130619,0.00102017119815585,0.0713306448048168,0.0547473237436629,0.00457269191782529,0.0129787855918114,0.00340250476530609,0.00872696798816998,0.073850045543489
"Disturbing",0.0452083227298832,0.0869928736652495,0.104115326441533,0.0171513952658604,0.015746443309978,0.163475518686978,0.159882745021722,0.00085160578478928,5.26430180532883e-05,0.00526002246712566,0.00703940475646578,0.00377939048057195,0.0171427392818659,2.12027544695865e-05,0.0151052912614206,0.0296813956640004,0.00335245925149804,0.0257300218642701,4.08439308221006e-06,0.0152359393642889,0.0105929109194385,0.00238002684813111,0.00639522482118605,0.115872551314979,0.016140687560835,0.0248091912193,0.0207088357685434,0.00444527720161133
"Dull",0.025350716111167,0.000763940709658079,0.022524993527598,0.000805807632289622,0.0177659242075829,6.19434534570683e-05,0.0708614694449931,0.00466544086628651,0.00493896035932773,0.00482713648818213,0.0334015725029371,0.120466239745248,0.0108504533589317,0.021125459353097,0.035942784787531,0.00857149158954143,0.0117518137864691,0.0729047764698051,0.0371287949852856,0.00834445490856399,0.00114455404456917,0.00873997429430434,0.0112094444532763,0.143337379195648,0.0234262721551374,0.0371707795496597,0.0872848480658349,0.0354041089422948
"Exotic",0.0021564442117678,0.00847424735448499,0.0113746388383354,0.027951711010704,2.3597059476092e-07,0.0012919658542055,0.068013042077088,0.0966327088241617,0.0948340084140234,0.000860112117296947,0.0107662435491956,0.00459681718059689,0.00201079490336756,0.0329836962346075,0.0355026916439699,0.0202753629279524,0.0901278134565137,0.0703549641527564,0.138078783576285,0.0102229433963655,0.00339776843504157,0.00139589119446354,0.000213961797771318,3.88765635985016e-05,0.0244134709463581,0.0767367662559413,0.0383601237271892,0.0161703184256434
