"","Dim.  1","Dim.  2","Dim.  3","Dim.  4","Dim.  5","Dim.  6","Dim.  7","Dim.  8","Dim.  9","Dim.  10","Dim.  11","Dim.  12","Dim.  13","Dim.  14","Dim.  15","Dim.  16","Dim.  17","Dim.  18","Dim.  19","Dim.  20","Dim.  21","Dim.  22","Dim.  23","Dim.  24","Dim.  25","Dim.  26","Dim.  27"
"Excerpt.1",0.0343165248930367,0.0280189216778714,0.205193619550052,0.0606922556308967,0.000898375371244668,0.0207792214398979,0.0185682217520413,0.131998757258091,0.0336489977703921,0.00139936339663274,0.0274793187887871,0.0356178005898286,0.000188698863673512,0.0164333267407812,0.0390742524382154,0.0494869442735466,0.0801458568444485,0.0386311203660754,0.000258131709096732,0.00110924423310985,0.00101163148164372,0.000919317173667432,0.0203397033988546,0.041351725305004,0.047552677239427,0.0135633580722324,0.0157384965495969
"Excerpt.2",0.00104205623257166,0.0695473309698732,0.110749340842061,0.0416736589238099,0.00108750696901307,0.0336882487208002,0.0102921108200992,0.0157653014103629,0.0216140214038801,0.0184538108744881,0.0694173651907696,0.183547935290912,0.0001024238355983,0.085301806981008,0.0764469234510909,0.000694850804105342,0.0956244891518768,0.00532494977314876,0.00837317570543889,9.42386867076251e-05,0.000212177282524225,0.00465455413933196,0.00114487815626081,0.00835292906992172,0.0010929947978227,0.0322557570129135,0.0667892149505552
"Excerpt.3",0.0578680946523894,0.133632352468767,0.000221121861606328,0.0296749019184536,0.00632179340416789,0.000800709655128511,0.0164897856933955,0.00471396159169038,0.00779299395030116,0.00648063428677056,0.0074858458247271,0.0218898627720176,0.00141128034950144,0.00720449257058639,0.20268185213237,2.79925936197401e-05,0.0226014576223476,0.0336835931418496,0.00643143671237752,0.0121855156489386,0.0641202694196921,0.00155173806690533,0.00564853007657396,0.0228789048443357,0.00124461276727186,0.117285426383177,0.168013819226622
"Excerpt.4",0.109362453979345,0.00156827221282866,0.0376310731180391,9.68980722070616e-05,0.0275923127470285,0.183934703677045,0.0162834271058099,0.0379859596027367,0.0144127059140671,0.0135174184892281,0.0635117564542618,0.0973461448103248,0.00605020688322869,0.00731339412219578,0.0519396189828021,0.0363666727632692,0.00182110083121702,0.0951519717662448,0.00360382085533683,0.0172249240005073,0.0364214126463849,0.0143827775953688,0.0001373887611073,0.0301472059731532,0.0326543653223428,0.00504749934095365,0.0203380295142316
"Excerpt.5",0.0163467955759473,0.00126499221986662,0.0156905122185838,0.0082625869342603,7.937383775912e-08,0.00531258865815568,0.0120648196544621,0.083457494994023,0.0673668292021195,0.00280914795181302,0.0052024155596044,0.140770935474153,0.0302388113243328,0.127969054949669,0.0026367298885098,0.00223387401877534,0.00592434933985121,0.0792270836255826,0.00103155812068713,0.0304554461508509,0.00580558377205298,0.14845431412701,0.0359569754690591,0.0078330262218211,0.0339100057793031,0.091296493840319,0.00417953199693712
"Excerpt.7",0.0427919637916673,0.0401304154505307,0.0235629076746728,0.0150508437942401,0.0458189673320257,0.0871993133971266,0.0204814477294207,0.0116611524139557,0.00568071501595742,0.0308164273624816,0.0662952305191647,0.0502143501983074,0.268241039584188,0.00178070462870197,0.00126328269043132,0.00151313477774924,0.0261026871096472,0.00090241042301294,0.00591088214393167,0.00356583822042095,0.0390239862036215,0.0513785496634971,0.0347171518568871,0.081276717643368,0.00755090328299468,0.000279870492800187,0.000990607135103725
"Excerpt.8",0.00722170746945765,0.0316557715198158,0.0146877945959652,4.49375605731741e-05,0.096481116293848,0.0139251635073547,0.00310366191112791,0.00153785849874229,0.0712778450924959,0.0469391184548213,0.0169534395511815,2.64206308498526e-05,0.0505245051650909,0.000677431525939033,0.0115765995501329,0.0187424136696956,0.0265278576081928,0.0957802522131337,0.0234451885246103,0.108441696496776,0.0915602070848574,0.0483570997090136,0.0221317353280893,4.21914979938987e-06,0.102539814844907,0.0426543019716425,0.0113811989850686
"Excerpt.9",0.00330796407638524,0.0166470254513753,0.0147020142952532,0.0207231189946471,0.114238001610168,0.0333653360572051,0.000228733422246416,8.45476985280157e-05,0.00055194231913098,0.00691180595143333,0.0185700059981722,0.00181018701971652,0.020023043572154,0.0352366191488359,0.00852582128210841,0.0450361278562477,0.00899283397179739,0.0541651608262775,0.0980956278139596,0.270342347144466,0.0423750680955275,0.0194941777802699,0.0163442888102528,0.0453183853349488,0.0223140648802251,0.0244813247712803,0.0270318963425749
"Excerpt.10",0.0535302321154912,0.0212941679528841,0.00244802807620022,0.00382740984250444,0.0300364324038399,0.123991321419122,0.341332052357472,0.028360551787911,5.9070893549959e-05,0.0126182943015478,0.0170740530766404,0.018102844763303,0.00296805325311981,0.000188965113181855,0.023116199280707,0.00306193937843309,0.0132809404347068,0.00516485723936922,0.00781720214884476,0.0391986626276085,0.00793829298919358,0.0117985677031008,0.180910183371149,0.00917935842990469,0.00235264868582545,0.00159941482958228,0.00295175606071415
"Excerpt.11",0.0106221174819048,0.108202553128594,0.0350212219721615,0.0420410630441804,0.00345549729493604,0.000214754955538797,0.00563799886952712,0.0570654783360364,0.00904757230787111,0.00589731308106696,0.0935353974495527,0.000488690539334768,0.0420731049927874,0.00522122284420942,0.00201610404745245,0.044486668861521,0.0383122925900834,0.00209132453306986,0.114338935129884,0.0104954076532667,0.000306291020510452,0.105629959704702,8.39167605249974e-05,0.0127455199063565,0.147390588517623,0.0427815521495761,0.0226409683689936
"Excerpt.12",0.0316963048098278,0.0764432917774802,0.140706384781831,0.0916416194068289,0.00383456932017126,0.109413643191059,0.0390336924667902,0.029725243664714,1.77164224383454e-05,0.0615514666695916,0.00333465801337788,0.107784883270376,0.00308001417160953,0.0501402732732041,0.00381000340448698,0.0146024669480393,9.38561413929863e-07,0.000382389566669792,0.0206558171932125,0.0310019481653095,0.0343354065169809,0.0833354346238478,0.000193275161528967,8.35545506530286e-05,0.00762076947673154,0.000334594337268137,0.0220134880573442
"Excerpt.13",0.056883601586803,0.0254071242242845,0.0188517283606292,0.0011603075151355,0.0242183583031338,0.00634031758825651,0.000808510543684165,0.0970525224126972,0.0976730884915829,0.000540209817744733,0.0217520948054002,0.0507452582278139,0.00148916467506255,0.249274868967708,0.0405233158586524,0.014972886280871,0.00381087371365933,0.0449669889275002,0.0182590351604521,0.0298417703996535,0.00113951180334831,0.000167224153206476,0.0686544165796855,0.0386182166400111,0.0331656983523242,0.00361374517732286,0.0144850242415233
"Excerpt.15",0.0149044323422946,0.0367946835115438,0.00143810373943403,0.110817960823086,6.81850391731896e-06,0.0630490413981871,0.0803746533055398,0.0353887918258563,0.00020056564918997,0.0526616853922362,0.0309898987937231,0.0193194704306207,0.00489166108319028,0.00385298660510686,0.0904235128347341,0.0835136927820506,0.00757853127652391,0.0446194004086561,0.0736941459117254,0.000253135887444169,0.0110180783482222,0.0775155903835522,0.0158554317336879,0.0132340291070186,0.0282584772363208,0.00220986957142519,0.0649810102786997
